id_client,churn,score_churn,risque_ml
73212499,0,0.2679,Faible
73212501,0,0.3624,Moyen
73212514,0,0.0095,Faible
73212528,0,0.0109,Faible
73212536,0,0.0909,Faible
73212537,1,0.3902,Moyen
73212538,0,0.1565,Faible
73212539,0,0.0128,Faible
73212540,0,0.0068,Faible
73212552,1,0.9978,Haut
73212553,0,0.0132,Faible
73212563,0,0.0091,Faible
73212567,0,0.3451,Moyen
73212569,0,0.0138,Faible
73212571,0,0.0325,Faible
73212572,1,0.605,Haut
73212574,0,0.3988,Moyen
73212581,0,0.1171,Faible
73212594,0,0.3393,Moyen
73212614,0,0.0157,Faible
73212615,1,0.9973,Haut
73212616,0,0.0078,Faible
73212622,1,0.3451,Moyen
73212636,1,0.9978,Haut
73212645,0,0.0133,Faible
73212649,0,0.402,Moyen
73212652,0,0.0107,Faible
73212653,0,0.2479,Faible
73212659,0,0.0221,Faible
73212702,0,0.0142,Faible
73212708,0,0.011,Faible
73212715,0,0.0114,Faible
73212724,1,0.3232,Moyen
73212730,1,0.9978,Haut
73212738,0,0.0314,Faible
73212750,0,0.0073,Faible
73212762,0,0.3988,Moyen
73212764,0,0.0249,Faible
73212772,0,0.0179,Faible
73212779,1,0.9978,Haut
73212797,0,0.0154,Faible
73212802,0,0.01,Faible
73212808,1,0.9977,Haut
73212810,1,0.2745,Faible
73212811,0,0.3988,Moyen
73212819,0,0.1556,Faible
73212820,0,0.0092,Faible
73212826,0,0.0409,Faible
73212827,0,0.0081,Faible
73212830,0,0.0146,Faible
73212837,1,0.9969,Haut
73212840,1,0.6213,Haut
73212844,0,0.0159,Faible
73212848,0,0.0229,Faible
73212851,1,0.9978,Haut
73212855,0,0.0067,Faible
73212861,0,0.02,Faible
73212870,1,0.9969,Haut
73212872,1,0.3232,Moyen
73212877,0,0.0197,Faible
73212880,0,0.0162,Faible
73212881,0,0.5102,Moyen
73212894,0,0.0237,Faible
73212897,0,0.3451,Moyen
73212898,0,0.1307,Faible
73212902,1,0.2349,Faible
73212910,0,0.0114,Faible
73212911,0,0.0153,Faible
73212913,0,0.249,Faible
73212915,0,0.0135,Faible
73212927,0,0.3161,Moyen
73212934,0,0.009,Faible
73212937,1,0.9978,Haut
73212942,0,0.1802,Faible
73212954,1,0.3893,Moyen
73212960,0,0.0556,Faible
73212963,0,0.1272,Faible
73212965,1,0.7187,Haut
73212969,0,0.0133,Faible
73212973,0,0.0237,Faible
73212981,0,0.0189,Faible
73212982,1,0.9978,Haut
73212984,0,0.0103,Faible
73212989,0,0.0096,Faible
73212991,1,0.9978,Haut
73212992,0,0.0175,Faible
73212999,0,0.4529,Moyen
73213001,0,0.01,Faible
73213003,0,0.0314,Faible
73213004,0,0.6382,Haut
73213006,0,0.0068,Faible
73213008,0,0.0091,Faible
73213009,0,0.0133,Faible
73213010,0,0.017,Faible
73213017,1,0.9978,Haut
73213018,0,0.402,Moyen
73213019,1,0.4491,Moyen
73213023,0,0.0135,Faible
73213027,0,0.3262,Moyen
73213028,1,0.9973,Haut
73213035,0,0.01,Faible
73213037,0,0.0121,Faible
73213038,1,0.9973,Haut
73213041,0,0.0243,Faible
73213046,0,0.0758,Faible
73213049,0,0.0314,Faible
73213050,0,0.0078,Faible
73213052,0,0.0116,Faible
73213053,1,0.3154,Moyen
73213057,0,0.0153,Faible
73213060,0,0.0151,Faible
73213061,0,0.1459,Faible
73213062,0,0.0191,Faible
73213068,1,0.3551,Moyen
73213074,0,0.0084,Faible
73213075,0,0.0082,Faible
73213084,0,0.0314,Faible
73213089,1,0.5945,Moyen
73213090,0,0.0196,Faible
73213096,0,0.0247,Faible
73213098,0,0.0164,Faible
73213107,0,0.0092,Faible
73213108,0,0.0169,Faible
73213116,0,0.0171,Faible
73213118,0,0.014,Faible
73213125,0,0.4263,Moyen
73213140,0,0.0069,Faible
73213142,0,0.0173,Faible
73213143,0,0.1329,Faible
73213144,0,0.0131,Faible
73213146,0,0.0053,Faible
73213148,1,0.9969,Haut
73213192,1,0.9978,Haut
73213257,0,0.2274,Faible
73213258,0,0.0231,Faible
73213262,0,0.0206,Faible
73213274,0,0.0237,Faible
73213330,0,0.0197,Faible
73213539,0,0.0093,Faible
73213600,0,0.0274,Faible
73213617,0,0.3468,Moyen
73214044,0,0.0562,Faible
73214240,0,0.016,Faible
73214244,0,0.0074,Faible
73214410,0,0.0075,Faible
73214450,0,0.0078,Faible
73214496,0,0.0081,Faible
73214751,0,0.0089,Faible
73214983,0,0.0068,Faible
73215006,0,0.011,Faible
73215156,0,0.0093,Faible
73215339,1,0.998,Haut
73216032,0,0.2386,Faible
73216035,0,0.1557,Faible
73216080,0,0.5225,Moyen
73216092,0,0.1459,Faible
73216132,0,0.2898,Faible
73216140,0,0.2818,Faible
73216158,0,0.3232,Moyen
73216160,0,0.5722,Moyen
73216170,1,0.9978,Haut
73216224,0,0.3977,Moyen
73216226,0,0.2775,Faible
73216236,0,0.0937,Faible
73216241,0,0.5179,Moyen
73216265,0,0.382,Moyen
73216288,1,0.9978,Haut
73216290,1,0.9973,Haut
73216307,0,0.1817,Faible
73216325,0,0.3919,Moyen
73216358,1,0.3232,Moyen
73216368,0,0.292,Faible
73216409,0,0.369,Moyen
73216413,0,0.3988,Moyen
73216419,0,0.3383,Moyen
73216435,0,0.6642,Haut
73216437,0,0.0085,Faible
73216443,0,0.2786,Faible
73216446,1,0.9978,Haut
73216463,0,0.0141,Faible
73216469,0,0.0196,Faible
73216471,1,0.998,Haut
